ICSD Code,Formula,Chemical Formula,Space Group,Validation Status,Measurement Conditions,Compound Class,Year,Journal,GII,Failure Mode,Disorder Type
187223,Br0.5 Cl0.5 K1,Br0.5 Cl0.5 K1,F m -3 m,Failed,Ambient,Chloride,2012.0,Archives of Physics Research,0.4006,Type3_Vacancy,pure
61668,Br0.5977 Cl0.4023 Na1,Br0.5977 Cl0.4023 Na1,F m -3 m,Failed,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.2048,Type3_Vacancy,pure
187222,Br0.6 Cl0.4 K1,Br0.6 Cl0.4 K1,F m -3 m,Failed,Ambient,Chloride,2012.0,Archives of Physics Research,0.2787,Type3_Vacancy,pure
61669,Br0.7007 Cl0.2993 Na1,Br0.7007 Cl0.2993 Na1,F m -3 m,Failed,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.1515,Type3_Vacancy,pure
61670,Br0.7922 Cl0.2078 Na1,Br0.7922 Cl0.2078 Na1,F m -3 m,Borderline,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.105,,pure
187221,Br0.8 Cl0.2 K1,Br0.8 Cl0.2 K1,F m -3 m,Borderline,Ambient,Chloride,2012.0,Archives of Physics Research,0.1277,,pure
61671,Br0.8947 Cl0.1053 Na1,Br0.8947 Cl0.1053 Na1,F m -3 m,Validated,Ambient,Chloride,1949.0,Journal of Physical Chemistry,0.0597,,pure
28947,Cl1 K0.0997 Na0.9003,Cl1 K0.0997 Na0.9003,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.7578,Type3_Vacancy,homovalent
240594,Cl1 K0.1 Na0.9,Cl1 K0.1 Na0.9,F m -3 m,Failed,Ambient,Chloride,2004.0,American Mineralogist,0.7591,Type3_Vacancy,homovalent
28946,Cl1 K0.1757 Na0.8243,Cl1 K0.1757 Na0.8243,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.7036,Type3_Vacancy,homovalent
22171,Cl1 K0.3 Rb0.7,Cl1 K0.3 Rb0.7,F m -3 m,Failed,Ambient,Chloride,1969.0,"Annales Academiae Scientiarum Fennicae, Series A6: Physica",0.181,Type3_Vacancy,homovalent
28945,Cl1 K0.301 Na0.699,Cl1 K0.301 Na0.699,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.6259,Type3_Vacancy,homovalent
28944,Cl1 K0.4019 Na0.5981,Cl1 K0.4019 Na0.5981,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.5706,Type3_Vacancy,homovalent
28943,Cl1 K0.4963 Na0.5037,Cl1 K0.4963 Na0.5037,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.5242,Type3_Vacancy,homovalent
28942,Cl1 K0.5001 Na0.4999,Cl1 K0.5001 Na0.4999,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.5221,Type3_Vacancy,homovalent
28941,Cl1 K0.6165 Na0.3835,Cl1 K0.6165 Na0.3835,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.4724,Type3_Vacancy,homovalent
240568,Cl1 K0.7 Na0.3,Cl1 K0.7 Na0.3,F m -3 m,Failed,Ambient,Chloride,2004.0,American Mineralogist,0.4411,Type3_Vacancy,homovalent
28940,Cl1 K0.7003 Na0.2997,Cl1 K0.7003 Na0.2997,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.4397,Type3_Vacancy,homovalent
240534,Cl1 K0.8 Na0.2,Cl1 K0.8 Na0.2,F m -3 m,Failed,Ambient,Chloride,2004.0,American Mineralogist,0.4025,Type3_Vacancy,homovalent
28939,Cl1 K0.8998 Na0.1002,Cl1 K0.8998 Na0.1002,F m -3 m,Failed,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.3754,Type3_Vacancy,homovalent
240531,Cl1 K0.9 Na0.1,Cl1 K0.9 Na0.1,F m -3 m,Failed,Ambient,Chloride,2004.0,American Mineralogist,0.3758,Type3_Vacancy,homovalent
28695,Cl1 K0.92 Tl0.08,Cl1 K0.92 Tl0.08,F m -3 m,Borderline,Ambient,Chloride,1955.0,Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE),0.2083,Type3_Vacancy,homovalent
18014,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,1926.0,Zeitschrift fuer Kristallographie,0.105,,pure
22156,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,1969.0,"Annales Academiae Scientiarum Fennicae, Series A6: Physica",0.1219,,pure
28938,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.1026,,pure
52242,Cl1 K1,Cl1 K1,F m -3 m,Validated,Ambient,Chloride,1936.0,"Proceedings of the Physical Society, London",0.0441,,pure
53825,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,1919.0,Transactions of the American Institute of Electrical Engineers,0.1201,,pure
53841,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,1916.0,"Annalen der Physik (Berlin, Germany)",0.1322,,pure
126365,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,1953.0,Acta Crystallographica,0.1006,,pure
154214,Cl1 K1,Cl1 K1,F m -3 m,Validated,Ambient,Chloride,2005.0,Journal of Molecular Structure: THEOCHEM,0.0973,,pure
165593,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,2006.0,Inorganic Chemistry,0.1127,,pure
187219,Cl1 K1,Cl1 K1,F m -3 m,Validated,Ambient,Chloride,2012.0,Archives of Physics Research,0.0148,,pure
240502,Cl1 K1,Cl1 K1,F m -3 m,Borderline,Ambient,Chloride,2004.0,American Mineralogist,0.1082,,pure
26909,Cl1 Li1,Cl1 Li1,F m -3 m,Validated,Ambient,Chloride,,,0.0224,,pure
27981,Cl1 Li1,Cl1 Li1,F m -3 m,Validated,Ambient,Chloride,1923.0,Physikalische Zeitschrift,0.0039,,pure
52235,Cl1 Li1,Cl1 Li1,F m -3 m,Validated,Ambient,Chloride,1936.0,"Proceedings of the Physical Society, London",0.0001,,pure
53818,Cl1 Li1,Cl1 Li1,F m -3 m,Validated,Ambient,Chloride,1922.0,Journal of the Washington Academy of Sciences,0.032,,pure
18189,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1965.0,Acta Crystallographica,0.008,,pure
28948,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1954.0,Journal of the American Chemical Society,0.0189,,pure
29929,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,2021.0,"Minerals (Basel, Switzerland)",0.0106,,pure
41411,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1988.0,Kristallografiya,0.008,,pure
41439,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1990.0,Physical Review B: Condensed Matter and Materials Physics,0.0242,,pure
52232,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1936.0,Zeitschrift fuer Physik,0.0176,,pure
52233,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,1936.0,"Proceedings of the Physical Society, London",0.0711,,pure
53815,Cl1 Na1,Cl1 Na1,F m -3 m,Validated,Ambient,Chloride,,,0.0055,,pure
