Formula,ICSD Code,n (total),n (failed),Year,Mean Deviation (%),GII,Compound Class
O1 Sr1,197983,11,11,1984.0,-18.12,0.1812,Oxide
O1 Sr1,249178,11,11,2006.0,-15.75,0.1575,Oxide
O1 V1,28681,9,9,1951.0,44.61,0.4461,Oxide
O1 V1,60486,9,9,1969.0,56.19,0.5619,Oxide
O1 V1,77705,9,9,1985.0,54.09,0.5409,Oxide
O1 V1,196919,9,9,1954.0,50.59,0.5059,Oxide
O1 V1,647609,9,9,1969.0,48.77,0.4877,Oxide
O1 V1,647611,9,9,1981.0,53.68,0.5368,Oxide
O1 V1,647627,9,9,1972.0,54.51,0.5451,Oxide
O1 V1,647633,9,9,1955.0,50.59,0.5059,Oxide
O1 V1,647635,9,9,1984.0,55.18,0.5518,Oxide
O1 Zn1,38222,8,4,1962.0,-8.79,0.0879,Oxide
O1 Zn1,57156,8,4,1991.0,-7.59,0.0759,Oxide
O1 Zn1,190806,8,4,2014.0,-7.53,0.0753,Oxide
O1 Zn1,190807,8,4,2014.0,-7.75,0.0775,Oxide
S1 Sr1,53941,13,1,1923.0,14.93,0.1493,Sulfide
